"Environment Canada"
"Monthly Values for June - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"SUSKWA VALLEY","55.289","-127.171","BC","11.9","0","-0.7","27.0","0","-0.5","0","0.0","0",NA,"50.0","0","66.0","0.0","11","","",NA,"183.4","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","12.1","0",NA,"26.1","0","3.4","0","",,NA,"58.9","0",NA,"","8","",,NA,"178.5","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","17.0","0",NA,"35.6","0","3.6","0","",,NA,"41.6","0",NA,"","9","",,NA,"64.5","34.1","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","13.1","0",NA,"30.9","0","-2.4","0","",,NA,"94.5","0",NA,"","10","",,NA,"148.2","0.5","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","12.4","0",NA,"29.3","0","-2.9","0","",,NA,"52.1","0",NA,"","7","",,NA,"167.3","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","12.2","0",NA,"27.7","0","-1.0","0","",,NA,"64.2","0",NA,"","9","",,NA,"172.9","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","13.7","13","0.4","26.0","13","4.5","13","0.0","13",NA,"44.6","13",NA,"","7","","",NA,"74.6","2.3","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","14.1","0",NA,"27.0","0","4.4","0","",,NA,"72.2","1",NA,"","8","",,NA,"118.9","3.0","1092975"
"HORSEFLY LAKE GRUHS LAKE","52.363","-121.364","BC","18.3","28","4.8","28.5","28","9.0","28","0.0","28",NA,"0.0","28",NA,"","0","","",NA,"0.2","0.8","1093600"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","13.2","15",NA,"27.0","11","3.0","10","0.0","11",NA,"87.0","11",NA,"0.0","11","","",NA,"73.7","1.8","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","13.8","4",NA,"27.8","4","2.8","4","",,NA,"94.6","4",NA,"","10","",,NA,"111.3","3.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","13.8","0",NA,"27.9","0","2.6","0","",,NA,"92.2","0",NA,"","11","",,NA,"129.2","2.9","1096453"
"PRINCE GEORGE STP","53.880","-122.768","BC","15.6","2","1.0","29.5","2","5.5","2","0.0","2",NA,"106.0","2",NA,"0.0","9","","",NA,"78.0","10.4","1096468"
"QUESNEL","53.026","-122.510","BC","14.9","4",NA,"29.4","4","4.0","4","",,NA,"68.1","4",NA,"","11","",,NA,"85.0","5.5","1096629"
"QUESNEL AIRPORT AUTO","53.027","-122.506","BC","15.3","0",NA,"30.1","0","4.1","0","",,NA,"55.9","0",NA,"","11","",,NA,"91.5","10.9","1096631"
